통계년월,통계시도명,통계시군구명,수급자수,수급비율,대상자수
202207,서울특별시,종로구,944,82.95,1138
202207,서울특별시,중구,634,61.37,1033
202207,서울특별시,용산구,793,57.01,1391
202207,서울특별시,성동구,1183,60.51,1955
202207,서울특별시,광진구,1259,57.99,2171
202207,서울특별시,동대문구,1741,64.34,2706
202207,서울특별시,중랑구,2896,72.38,4001
202207,서울특별시,성북구,2026,63.17,3207
202207,서울특별시,강북구,2594,74.24,3494
202207,서울특별시,도봉구,1995,67.88,2939
202207,서울특별시,노원구,5105,76.77,6650
202207,서울특별시,은평구,3217,72.85,4416
202207,서울특별시,서대문구,1428,62.52,2284
202207,서울특별시,마포구,1662,61.6,2698
202207,서울특별시,양천구,2143,65.46,3274
202207,서울특별시,강서구,5051,76.22,6627
202207,서울특별시,구로구,2217,64.86,3418
202207,서울특별시,금천구,1440,68.57,2100
202207,서울특별시,영등포구,1467,57.1,2569
202207,서울특별시,동작구,1673,59.92,2792
202207,서울특별시,관악구,2422,64.35,3764
202207,서울특별시,서초구,1113,52.43,2123
202207,서울특별시,강남구,2409,63.8,3776
202207,서울특별시,송파구,2461,58.39,4215
202207,서울특별시,강동구,2427,63.09,3847
202207,부산광역시,중구,356,75.58,471
202207,부산광역시,서구,1124,80.4,1398
202207,부산광역시,동구,890,77.39,1150
202207,부산광역시,영도구,1664,83.12,2002
202207,부산광역시,부산진구,2528,73.17,3455
202207,부산광역시,동래구,1586,68.39,2319
202207,부산광역시,남구,1777,70.83,2509
202207,부산광역시,북구,2568,76.32,3365
202207,부산광역시,해운대구,2690,76.92,3497
202207,부산광역시,사하구,2694,76.53,3520
202207,부산광역시,금정구,1599,70.56,2266
202207,부산광역시,강서구,796,84.59,941
202207,부산광역시,연제구,1332,72.47,1838
202207,부산광역시,수영구,1124,68.58,1639
202207,부산광역시,사상구,2153,79.59,2705
202207,부산광역시,기장군,1287,73.25,1757
202207,대구광역시,중구,553,70.99,779
202207,대구광역시,동구,3177,78.33,4056
202207,대구광역시,서구,1497,75.84,1974
202207,대구광역시,남구,1308,76.4,1712
202207,대구광역시,북구,3040,72.47,4195
202207,대구광역시,수성구,2538,70.29,3611
202207,대구광역시,달서구,4214,72.99,5773
202207,대구광역시,달성군,1695,70.68,2398
202207,인천광역시,중구,699,65.27,1071
202207,인천광역시,동구,535,70.49,759
202207,인천광역시,미추홀구,2650,68.25,3883
202207,인천광역시,연수구,1782,65.56,2718
202207,인천광역시,남동구,3580,70.88,5051
202207,인천광역시,부평구,3741,68.63,5451
202207,인천광역시,계양구,1937,70.95,2730
202207,인천광역시,서구,2854,66.62,4284
202207,인천광역시,강화군,975,77.81,1253
202207,인천광역시,옹진군,272,79.3,343
202207,광주광역시,동구,1013,93.19,1087
202207,광주광역시,서구,2111,73.79,2861
202207,광주광역시,남구,1876,76.04,2467
202207,광주광역시,북구,3355,75.22,4460
202207,광주광역시,광산구,2570,72.72,3534
202207,대전광역시,동구,2363,77.76,3039
202207,대전광역시,중구,2001,73.57,2720
202207,대전광역시,서구,2995,71.17,4208
202207,대전광역시,유성구,1661,67.22,2471
202207,대전광역시,대덕구,1823,76.82,2373
202207,울산광역시,중구,1203,66.8,1801
202207,울산광역시,남구,1538,65.64,2343
202207,울산광역시,동구,903,67.64,1335
202207,울산광역시,북구,1147,65.32,1756
202207,울산광역시,울주군,1654,65.25,2535
202207,세종특별자치시,세종특별자치시,1521,62.77,2423
202207,경기도,수원시,5468,65.57,8339
202207,경기도,성남시,4660,64.55,7219
202207,경기도,의정부시,3000,68.65,4370
202207,경기도,안양시,2511,64.42,3898
202207,경기도,부천시,4738,65.56,7227
202207,경기도,광명시,1621,65.07,2491
202207,경기도,평택시,2855,63.23,4515
202207,경기도,동두천시,1005,73.63,1365
202207,경기도,안산시,3999,66.57,6007
202207,경기도,고양시,5668,66.2,8562
202207,경기도,과천시,228,52.9,431
202207,경기도,구리시,996,65.61,1518
202207,경기도,남양주시,4065,69.32,5864
202207,경기도,오산시,1063,62.31,1706
202207,경기도,시흥시,2403,63.42,3789
202207,경기도,군포시,1459,66.71,2187
202207,경기도,의왕시,701,63.96,1096
202207,경기도,하남시,1324,59.03,2243
202207,경기도,용인시,4047,58.28,6944
202207,경기도,파주시,2864,67.34,4253
202207,경기도,이천시,1584,68.66,2307
202207,경기도,안성시,1595,69.89,2282
202207,경기도,김포시,2047,61.03,3354
202207,경기도,화성시,3162,60.29,5245
202207,경기도,광주시,1982,63.4,3126
202207,경기도,양주시,1780,69.5,2561
202207,경기도,포천시,1545,73.29,2108
202207,경기도,여주시,1080,68.31,1581
202207,경기도,연천군,492,76.16,646
202207,경기도,가평군,1046,80.09,1306
202207,경기도,양평군,1301,72,1807
202207,강원도,춘천시,2349,71.42,3289
202207,강원도,원주시,2700,70.88,3809
202207,강원도,강릉시,1951,74.21,2629
202207,강원도,동해시,846,71.45,1184
202207,강원도,태백시,418,62.3,671
202207,강원도,속초시,681,72.83,935
202207,강원도,삼척시,698,75.13,929
202207,강원도,홍천군,791,76.28,1037
202207,강원도,횡성군,460,73.13,629
202207,강원도,영월군,482,77.24,624
202207,강원도,평창군,412,72.54,568
202207,강원도,정선군,386,69.68,554
202207,강원도,철원군,361,51.06,707
202207,강원도,화천군,272,80.95,336
202207,강원도,양구군,221,81.85,270
202207,강원도,인제군,324,79.8,406
202207,강원도,고성군,377,84.53,446
202207,강원도,양양군,374,82.02,456
202207,충청북도,청주시,5881,70.33,8362
202207,충청북도,충주시,2027,74.14,2734
202207,충청북도,제천시,1476,76.32,1934
202207,충청북도,보은군,431,78.08,552
202207,충청북도,옥천군,773,81.45,949
202207,충청북도,영동군,621,78.71,789
202207,충청북도,증평군,352,72.43,486
202207,충청북도,진천군,556,72.49,767
202207,충청북도,괴산군,542,83,653
202207,충청북도,음성군,1541,83.12,1854
202207,충청북도,단양군,388,79.67,487
202207,충청남도,천안시,3710,67.61,5487
202207,충청남도,공주시,1580,80,1975
202207,충청남도,보령시,1309,77.87,1681
202207,충청남도,아산시,2123,68.62,3094
202207,충청남도,서산시,1388,73.05,1900
202207,충청남도,논산시,1867,82.72,2257
202207,충청남도,계룡시,185,63.57,291
202207,충청남도,당진시,1194,68.66,1739
202207,충청남도,금산군,679,81.22,836
202207,충청남도,부여군,1079,81.87,1318
202207,충청남도,서천군,857,85.1,1007
202207,충청남도,청양군,400,76.19,525
202207,충청남도,홍성군,926,73.09,1267
202207,충청남도,예산군,936,77.29,1211
202207,충청남도,태안군,683,76.23,896
202207,전라북도,전주시,4685,72.62,6451
202207,전라북도,군산시,2405,76.16,3158
202207,전라북도,익산시,3541,81.12,4365
202207,전라북도,정읍시,1607,82.24,1954
202207,전라북도,남원시,1228,84.63,1451
202207,전라북도,김제시,1492,84.87,1758
202207,전라북도,완주군,1316,81.59,1613
202207,전라북도,진안군,413,85.15,485
202207,전라북도,무주군,349,83.29,419
202207,전라북도,장수군,309,84.89,364
202207,전라북도,임실군,490,85.51,573
202207,전라북도,순창군,470,85.3,551
202207,전라북도,고창군,847,83.94,1009
202207,전라북도,부안군,773,82.06,942
202207,전라남도,목포시,2415,91.44,2641
202207,전라남도,여수시,2705,78.41,3450
202207,전라남도,순천시,2136,74.17,2880
202207,전라남도,나주시,1341,72.29,1855
202207,전라남도,광양시,954,70.98,1344
202207,전라남도,담양군,652,82.64,789
202207,전라남도,곡성군,548,88.1,622
202207,전라남도,구례군,385,80.04,481
202207,전라남도,고흥군,1270,86.75,1464
202207,전라남도,보성군,718,86.71,828
202207,전라남도,화순군,776,80,970
202207,전라남도,장흥군,656,86.2,761
202207,전라남도,강진군,468,82.98,564
202207,전라남도,해남군,1145,86.61,1322
202207,전라남도,영암군,662,76,871
202207,전라남도,무안군,755,57.9,1304
202207,전라남도,함평군,608,85.03,715
202207,전라남도,영광군,810,83.42,971
202207,전라남도,장성군,620,82.45,752
202207,전라남도,완도군,690,85.61,806
202207,전라남도,진도군,489,84.02,582
202207,전라남도,신안군,565,83.95,673
202207,경상북도,포항시,4116,72.8,5654
202207,경상북도,경주시,2225,72.03,3089
202207,경상북도,김천시,1658,78.65,2108
202207,경상북도,안동시,2479,82.85,2992
202207,경상북도,구미시,2158,70.02,3082
202207,경상북도,영주시,1436,82.53,1740
202207,경상북도,영천시,1276,80.15,1592
202207,경상북도,상주시,1343,80.85,1661
202207,경상북도,문경시,900,75.44,1193
202207,경상북도,경산시,2169,72.79,2980
202207,경상북도,군위군,333,83.04,401
202207,경상북도,의성군,856,84.67,1011
202207,경상북도,청송군,313,86.23,363
202207,경상북도,영양군,275,83.08,331
202207,경상북도,영덕군,570,82.73,689
202207,경상북도,청도군,538,77.08,698
202207,경상북도,고령군,459,82.41,557
202207,경상북도,성주군,517,77.05,671
202207,경상북도,칠곡군,910,75.96,1198
202207,경상북도,예천군,796,79.92,996
202207,경상북도,봉화군,424,80.46,527
202207,경상북도,울진군,628,82.63,760
202207,경상북도,울릉군,42,73.68,57
202207,경상남도,창원시,6676,69.34,9628
202207,경상남도,진주시,2903,75.23,3859
202207,경상남도,통영시,1148,80.06,1434
202207,경상남도,사천시,1232,78.42,1571
202207,경상남도,김해시,3339,66.99,4984
202207,경상남도,밀양시,1160,70.13,1654
202207,경상남도,거제시,1482,69.22,2141
202207,경상남도,양산시,2221,67.08,3311
202207,경상남도,의령군,525,84.95,618
202207,경상남도,함안군,773,78.96,979
202207,경상남도,창녕군,749,78.84,950
202207,경상남도,고성군,761,81.65,932
202207,경상남도,남해군,680,82.93,820
202207,경상남도,하동군,738,84.93,869
202207,경상남도,산청군,662,86.09,769
202207,경상남도,함양군,546,81.37,671
202207,경상남도,거창군,765,82.88,923
202207,경상남도,합천군,784,85.31,919
202207,제주특별자치도,제주시,3653,69.3,5271
202207,제주특별자치도,서귀포시,1510,70.07,2155
